Player_Name,batting_style,bowling_style,Dataset,player_id,display_name,full_name,playing_role,new_batting_style,new_bowling_style
A Ashish Reddy,RHB,Right-arm fast,IPL,389605,Ashish Reddy,Ammana Ashish Reddy,Allrounder,Right-hand bat,Right-arm medium
A Badoni,RHB,Off Break,IPL,1151270,Ayush Badoni,Ayush Badoni,Batter,Right-hand bat,Right-arm offbreak
A Chandila,RHB,Off Break,IPL,27783,Ajit  Chandila,Ajit  Chandila,Allrounder,Right-hand bat,Right-arm offbreak
A Chopra,RHB,Off Break,IPL,27639,Aakash Chopra,Aakash Chopra,Batter,Right-hand bat,Right-arm medium
A Choudhary,RHB,Left-arm fast,IPL,527299,Aniket Choudhary,Aniket Vinod Choudhary,Bowler,Right-hand bat,Left-arm medium
A Dananjaya,LHB,Off Break,IPL,574178,Akila Dananjaya,Mahamarakkala Kurukulasooriya Patabendige Akila Dananjaya Perera,Allrounder,Left-hand bat,Right-arm offbreak
A Flintoff,RHB,Right-arm fast,IPL,12856,Andrew Flintoff,Andrew Flintoff,Allrounder,Right-hand bat,Right-arm fast-medium
A Kumble,RHB,Leg Break,IPL,30176,Anil Kumble,Anil Kumble,Bowler,Right-hand bat,Legbreak googly
A Manohar,RHB,Leg Break,IPL,778963,Abhinav Manohar,Abhinav Manohar,Batting allrounder,Right-hand bat,Legbreak googly
A Mishra,RHB,Leg Break,IPL,31107,Amit Mishra,Amit Mishra,Bowler,Right-hand bat,Legbreak
A Mithun,RHB,Right-arm fast,IPL,310958,Abhimanyu Mithun,Abhimanyu Mithun,Bowler,Right-hand bat,Right-arm medium
A Mukund,LHB,Leg Break,IPL,302582,Abhinav Mukund,Abhinav Mukund,Top-order batter,Left-hand bat,Legbreak googly
A Nehra,RHB,Left-arm fast,IPL,31820,Ashish Nehra,Ashish Nehra,Bowler,Right-hand bat,Left-arm medium-fast
A Nel,RHB,Right-arm fast,IPL,46569,Andre Nel,Andre Nel,Bowler,Right-hand bat,Right-arm fast-medium
A Nortje,RHB,Right-arm fast,IPL,481979,Anrich Nortje,Anrich Arno Nortje,Bowler,Right-hand bat,Right-arm fast
A Singh,RHB,Right-arm fast,IPL,26789,Amit Singh,Amit Singh,Bowler,Right-hand bat,Right-arm medium-fast
A Symonds,RHB,Off Break,IPL,7702,Andrew Symonds,Andrew Symonds,Allrounder,Right-hand bat,Right-arm medium
A Tomar,RHB,Off Break,IPL,1081183,Abhijeet Tomar,Abhijeet Tomar,Opening batter,Right-hand bat,Right-arm offbreak
A Uniyal,LHB,Left-arm fast,IPL,35586,Amit Uniyal,Amit Uniyal,Unknown,Left-hand bat,Left-arm medium
A Zampa,RHB,Leg Break,IPL,379504,Adam Zampa,Adam Zampa,Bowler,Right-hand bat,Legbreak googly
AA Bilakhia,RHB,Right-arm fast,IPL,26946,Azhar Bilakhia,Azharuddin Anjum Bilakhia,Unknown,Right-hand bat,Right-arm medium
AA Chavan,LHB,Slow left-arm orthodox,IPL,337913,Ankeet Chavan,Ankeet Anil Chavan,Batter,Left-hand bat,Slow left-arm orthodox
