id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by,result_margin,player_of_match,venue,umpire1,umpire2,umpire3
335982,2008,Bangalore,18/04/08,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,runs,140,BB McCullum,M Chinnaswamy Stadium,Asad Rauf,RE Koertzen,
335983,2008,Chandigarh,19/04/08,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,0,Chennai Super Kings,runs,33,MEK Hussey,Punjab Cricket Association Stadium,MR Benson,SL Shastri,
335984,2008,Delhi,19/04/08,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,normal,0,Delhi Daredevils,wickets,9,MF Maharoof,Feroz Shah Kotla,Aleem Dar,GA Pratapkumar,
335985,2008,Mumbai,20/04/08,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,Royal Challengers Bangalore,wickets,5,MV Boucher,Wankhede Stadium,SJ Davis,DJ Harper,
335986,2008,Kolkata,20/04/08,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,normal,0,Kolkata Knight Riders,wickets,5,DJ Hussey,Eden Gardens,BF Bowden,K Hariharan,
335987,2008,Jaipur,21/04/08,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,normal,0,Rajasthan Royals,wickets,6,SR Watson,Sawai Mansingh Stadium,Aleem Dar,RB Tiffin,
335988,2008,Hyderabad,22/04/08,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,0,Delhi Daredevils,wickets,9,V Sehwag,Rajiv Gandhi International Stadium,IL Howell,AM Saheba,
335989,2008,Chennai,23/04/08,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Chennai Super Kings,runs,6,ML Hayden,MA Chidambaram Stadium,DJ Harper,GA Pratapkumar,
335990,2008,Hyderabad,24/04/08,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,wickets,3,YK Pathan,Rajiv Gandhi International Stadium,Asad Rauf,MR Benson,
335991,2008,Chandigarh,25/04/08,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Kings XI Punjab,runs,66,KC Sangakkara,Punjab Cricket Association Stadium,Aleem Dar,AM Saheba,
335992,2008,Bangalore,26/04/08,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,wickets,7,SR Watson,M Chinnaswamy Stadium,MR Benson,IL Howell,
335993,2008,Chennai,26/04/08,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,normal,0,Chennai Super Kings,wickets,9,JDP Oram,MA Chidambaram Stadium,BF Bowden,AV Jayaprakash,
335994,2008,Mumbai,27/04/08,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,wickets,10,AC Gilchrist,Dr DY Patil Sports Academy,Asad Rauf,SL Shastri,
335995,2008,Chandigarh,27/04/08,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,normal,0,Kings XI Punjab,wickets,4,SM Katich,Punjab Cricket Association Stadium,RE Koertzen,I Shivram,
335996,2008,Bangalore,28/04/08,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Chennai Super Kings,runs,13,MS Dhoni,M Chinnaswamy Stadium,BR Doctrove,RB Tiffin,
335997,2008,Kolkata,29/04/08,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Mumbai Indians,wickets,7,ST Jayasuriya,Eden Gardens,BF Bowden,AV Jayaprakash,
335998,2008,Delhi,30/04/08,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Delhi Daredevils,runs,10,GD McGrath,Feroz Shah Kotla,Aleem Dar,I Shivram,
335999,2008,Hyderabad,01/05/08,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,wickets,7,SE Marsh,Rajiv Gandhi International Stadium,BR Doctrove,RB Tiffin,
336000,2008,Jaipur,01/05/08,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,0,Rajasthan Royals,runs,45,SA Asnodkar,Sawai Mansingh Stadium,RE Koertzen,GA Pratapkumar,
336001,2008,Chennai,02/05/08,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,0,Delhi Daredevils,wickets,8,V Sehwag,MA Chidambaram Stadium,BF Bowden,K Hariharan,
336002,2008,Hyderabad,25/05/08,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,normal,0,Royal Challengers Bangalore,wickets,5,R Vinay Kumar,Rajiv Gandhi International Stadium,Asad Rauf,RE Koertzen,
336003,2008,Chandigarh,03/05/08,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,normal,0,Kings XI Punjab,runs,9,IK Pathan,Punjab Cricket Association Stadium,DJ Harper,I Shivram,
336004,2008,Mumbai,04/05/08,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Mumbai Indians,runs,29,SM Pollock,Dr DY Patil Sports Academy,IL Howell,RE Koertzen,
336005,2008,Jaipur,04/05/08,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,normal,0,Rajasthan Royals,wickets,8,Sohail Tanvir,Sawai Mansingh Stadium,Asad Rauf,AV Jayaprakash,
336006,2008,Bangalore,05/05/08,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,wickets,6,S Sreesanth,M Chinnaswamy Stadium,SJ Davis,BR Doctrove,
336007,2008,Chennai,06/05/08,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,wickets,7,AC Gilchrist,MA Chidambaram Stadium,MR Benson,RB Tiffin,
336008,2008,Mumbai,07/05/08,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,wickets,7,A Nehra,Dr DY Patil Sports Academy,DJ Harper,RE Koertzen,
336009,2008,Delhi,08/05/08,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,wickets,4,MS Dhoni,Feroz Shah Kotla,Aleem Dar,RB Tiffin,
336010,2008,Kolkata,08/05/08,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,runs,5,SC Ganguly,Eden Gardens,Asad Rauf,IL Howell,
336011,2008,Jaipur,09/05/08,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,wickets,8,YK Pathan,Sawai Mansingh Stadium,MR Benson,AM Saheba,
336012,2008,Bangalore,28/05/08,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,wickets,9,CRD Fernando,M Chinnaswamy Stadium,BF Bowden,AV Jayaprakash,
336013,2008,Chennai,10/05/08,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,normal,0,Chennai Super Kings,runs,18,L Balaji,MA Chidambaram Stadium,AV Jayaprakash,BG Jerling,
336014,2008,Hyderabad,11/05/08,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,runs,23,SC Ganguly,Rajiv Gandhi International Stadium,IL Howell,AM Saheba,
336015,2008,Jaipur,11/05/08,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,wickets,3,SR Watson,Sawai Mansingh Stadium,SJ Davis,RE Koertzen,
336016,2008,Chandigarh,12/05/08,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,normal,0,Kings XI Punjab,wickets,9,SE Marsh,Punjab Cricket Association Stadium,BR Doctrove,I Shivram,
336017,2008,Kolkata,13/05/08,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,runs,23,Shoaib Akhtar,Eden Gardens,Asad Rauf,IL Howell,
336018,2008,Mumbai,14/05/08,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,wickets,9,ST Jayasuriya,Wankhede Stadium,BR Doctrove,AM Saheba,
